src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
512,512,512,512,4,1,512,1.5,0.0042845,0.00428548,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=256, num_N_blocks=8, N_chunk_size=4,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,5,1,512,1.5,0.00423076,0.0042092,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=8, N_chunk_elems=64, num_N_blocks=8, N_chunk_size=1,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,6,1,512,1.5,0.00404441,0.00402889,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=3, N_chunk_elems=192, num_N_blocks=8, N_chunk_size=3,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,7,1,512,1.5,0.00419445,0.00429951,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=3, M_chunk_elems=192, num_M_blocks=8, M_chunk_size=3,N values: N=512, N_blk=64, N_tail=0, N_chunks=8, N_chunk_elems=64, num_N_blocks=8, N_chunk_size=1,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,8,1,512,1.5,0.00443154,0.00461443,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=128, num_N_blocks=8, N_chunk_size=2,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,9,1,512,1.5,0.00453941,0.00493679,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=3, M_chunk_elems=192, num_M_blocks=8, M_chunk_size=3,N values: N=512, N_blk=64, N_tail=0, N_chunks=3, N_chunk_elems=192, num_N_blocks=8, N_chunk_size=3,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,10,1,512,1.5,0.00433131,0.004267,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=4, M_chunk_elems=128, num_M_blocks=8, M_chunk_size=2,N values: N=512, N_blk=64, N_tail=0, N_chunks=8, N_chunk_elems=64, num_N_blocks=8, N_chunk_size=1,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,11,1,512,1.5,0.00440196,0.00447442,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=8, M_chunk_elems=64, num_M_blocks=8, M_chunk_size=1,N values: N=512, N_blk=64, N_tail=0, N_chunks=8, N_chunk_elems=64, num_N_blocks=8, N_chunk_size=1,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,12,1,512,1.5,0.00476824,0.00529091,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=3, M_chunk_elems=192, num_M_blocks=8, M_chunk_size=3,N values: N=512, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=128, num_N_blocks=8, N_chunk_size=2,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
1603,1603,1603,1603,1,1,5024,14.71875,0.161935,0.188344,0,false,M values: M=1603, M_blk=64, M_tail=3, M_chunks=7, M_chunk_elems=256, num_M_blocks=26, M_chunk_size=4,N values: N=1603, N_blk=64, N_tail=3, N_chunks=5, N_chunk_elems=384, num_N_blocks=26, N_chunk_size=6,K values: K=1603, K_blk=32, K_tail=4, K_chunks=3, K_chunk_elems=544,
1603,1603,1603,1603,2,1,5024,14.71875,0.0997399,0.113665,0,false,M values: M=1603, M_blk=64, M_tail=3, M_chunks=7, M_chunk_elems=256, num_M_blocks=26, M_chunk_size=4,N values: N=1603, N_blk=64, N_tail=3, N_chunks=5, N_chunk_elems=384, num_N_blocks=26, N_chunk_size=6,K values: K=1603, K_blk=32, K_tail=4, K_chunks=3, K_chunk_elems=544,
1603,1603,1603,1603,3,1,5024,14.71875,0.0792716,0.0799065,0,false,M values: M=1603, M_blk=64, M_tail=3, M_chunks=7, M_chunk_elems=256, num_M_blocks=26, M_chunk_size=4,N values: N=1603, N_blk=64, N_tail=3, N_chunks=6, N_chunk_elems=320, num_N_blocks=26, N_chunk_size=5,K values: K=1603, K_blk=32, K_tail=4, K_chunks=3, K_chunk_elems=544,
1603,1603,1603,1603,4,1,5024,14.71875,0.0652872,0.0676226,0,false,M values: M=1603, M_blk=64, M_tail=3, M_chunks=7, M_chunk_elems=256, num_M_blocks=26, M_chunk_size=4,N values: N=1603, N_blk=64, N_tail=3, N_chunks=5, N_chunk_elems=384, num_N_blocks=26, N_chunk_size=6,K values: K=1603, K_blk=32, K_tail=4, K_chunks=3, K_chunk_elems=544,
