src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
512,512,512,512,1,1,512,24.0,0.0628577,0.0653037,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=384, num_N_blocks=8, N_chunk_size=6,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,2,1,512,24.0,0.0412723,0.0414746,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=256, num_N_blocks=8, N_chunk_size=4,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,3,1,512,24.0,0.0336009,0.0334892,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=256, num_N_blocks=8, N_chunk_size=4,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,4,1,512,24.0,0.0294797,0.0292458,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=256, num_N_blocks=8, N_chunk_size=4,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,5,1,512,24.0,0.027127,0.027195,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=256, num_N_blocks=8, N_chunk_size=4,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,6,1,512,24.0,0.0253226,0.0256904,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=256, num_N_blocks=8, N_chunk_size=4,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,7,1,512,24.0,0.0246044,0.0244833,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=8, N_chunk_elems=64, num_N_blocks=8, N_chunk_size=1,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,8,1,512,24.0,0.0246582,0.0256851,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=256, num_N_blocks=8, N_chunk_size=4,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,9,1,512,24.0,0.0232527,0.0231159,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=8, N_chunk_elems=64, num_N_blocks=8, N_chunk_size=1,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,10,1,512,24.0,0.0236387,0.0228463,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=128, num_N_blocks=8, N_chunk_size=2,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,11,1,512,24.0,0.0237528,0.0248112,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=256, num_N_blocks=8, N_chunk_size=4,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,12,1,512,24.0,0.0231917,0.0245425,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=128, num_N_blocks=8, N_chunk_size=2,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
1603,1603,1603,1603,1,1,5024,235.5,2.61675,2.6828,0,false,M values: M=1603, M_blk=64, M_tail=3, M_chunks=7, M_chunk_elems=256, num_M_blocks=26, M_chunk_size=4,N values: N=1603, N_blk=64, N_tail=3, N_chunks=5, N_chunk_elems=384, num_N_blocks=26, N_chunk_size=6,K values: K=1603, K_blk=32, K_tail=4, K_chunks=3, K_chunk_elems=544,
